Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
13382368,-0,318257,9,655384,0,725051, 
13382378,-0,236898,9,645813,0,799231, 
13382387,-0,270399,9,621883,0,737016, 
13382397,-0,263220,9,641026,0,760945, 
13382406,-0,227326,9,674527,0,799231, 
13382416,-0,282363,9,710421,0,815982, 
13382426,-0,270399,9,710421,0,780088, 
13382435,-0,169896,9,703242,0,729837, 
13382444,-0,196218,9,691278,0,689158, 
13382454,-0,193826,9,605133,0,722658, 
13382463,-0,229719,9,588383,0,758552, 
13382473,-0,294328,9,629062,0,813589, 
13382482,-0,234505,9,660170,0,839911, 
13382492,-0,155539,9,638634,1,064844, 
13382502,-0,122038,9,645813,1,100738, 
13382511,-0,430723,9,724778,0,801624, 
13382519,-0,351757,9,748708,0,380472, 
13382529,-0,050251,9,765458,0,715479, 
13382538,0,004786,9,523774,0,887769, 
13382548,-0,387651,9,456773,0,629335, 
13382557,-0,454653,9,349092,0,916484, 
13382567,-0,404401,9,660170,1,050487, 
13382577,-0,373294,9,696064,0,854268, 
13382586,-0,272792,9,686492,0,815982, 
13382595,-0,291935,9,612311,0,713087, 
13382605,-0,409187,9,636241,0,720265, 
13382614,-0,471403,9,581204,0,830339, 
13382624,-0,385258,9,664956,0,813589, 
13382633,-0,282363,9,703242,0,854268, 
13382643,-0,220148,9,794173,0,765731, 
13382653,-0,215362,9,775029,0,667621, 
13382662,-0,220148,9,825280,0,705908, 
13382671,-0,354150,9,789387,0,622156, 
13382681,-0,392437,9,746315,0,464224, 
13382690,-0,313471,9,734350,0,394830, 
13382700,-0,325435,9,698457,0,492939, 
13382709,-0,366115,9,595561,0,490546, 
13382719,-0,409187,9,547704,0,543190, 
13382729,-0,244077,9,528560,0,564726, 
13382738,-0,160325,9,569240,0,708301, 
13382747,-0,078966,9,574025,0,815982, 
13382757,0,021536,9,643419,0,966735, 
13382766,-0,014357,9,710421,0,847089, 
13382776,-0,095716,9,772636,0,921270, 
13382785,-0,215362,9,839638,0,796838, 
13382795,-0,335007,9,832459,0,782481, 
13382805,-0,409187,9,844424,0,842304, 
13382814,-0,476189,9,772636,0,842304, 
13382823,-0,538404,9,652991,0,894948, 
13382833,-0,531226,9,650599,0,887769, 
13382842,-0,473796,9,614705,0,856661, 
13382852,-0,445081,9,540524,0,902126, 
13382861,-0,402009,9,602740,0,854268, 
13382871,-0,421152,9,657777,0,811196, 
13382881,-0,346972,9,619491,0,780088, 
